entri,entri_id,pola,basis_kandidat,basis_id,basis_jenis,indeks_basis,makna_snippet
"bebesaran",3996,"R.purwa","besaran",47642,"turunan","besaran","pohon murbei; besaran"
"bebuku",4002,"R.purwa","buku",5666,"dasar","buku","kumpulan buku"
"berewok",4622,"-er-","bewok",4804,"dasar","bewok","bulu atau rambut yang tumbuh pada dagu dan pipi belakang; bewok; cambang bauk"
"cecawi",6320,"R.purwa","cawi",6296,"dasar","cawi","cawi-cawi"
"cecere",6327,"R.purwa","cere",6737,"dasar","cere","ikan air tawar atau payau, kecil, biasanya berkelompok, panjang mencapai 9 cm, mendiami dasar perairan tropis, kedalaman"
"cecongor",6329,"R.purwa","congor",7060,"dasar","congor","moncong; congor"
"cerabut",6697,"-er-","cabut",5921,"dasar","cabut","lepas; cabut"
"dedulang",7681,"R.purwa","dulang",8936,"dasar","dulang","pohon merunggai; petai laut; dulang-dulang"
"gegala",11392,"R.purwa","gala",10932,"dasar","gala","gala; gala-gala | residu berat yang hampir-ham-pir padat, yang tersisa setelah penyulingan ter arang batu atau terpentin"
"gelantung",11467,"-el-","gantung",11157,"dasar","gantung","gantung"
"gelosok",11632,"-el-","gosok",12524,"dasar","gosok","gosok"
"gemebyar",11702,"-em-","gebyar",11348,"dasar","gebyar","serba gebyar; gemerlap"
"gemirang",11740,"-em-","girang",12285,"dasar","girang","suka ria; girang"
"gemulung",11758,"-em-","gulung",12692,"dasar","gulung","bergulung-gulung (tentang ombak dsb.)"
"gemuruh",11760,"-em-","guruh",12781,"dasar","guruh","menderu-deru seperti bunyi guruh atau suara ombak besar mengalun menepis pantai"
"gerapai",11957,"-er-","gapai",11169,"dasar","gapai","gapai"
"gerigi",12043,"-er-","gigi",12226,"dasar","gigi","gigi-gigi tajam pada tepi (gergaji, piringan sepeda)"
"gerinjal",12062,"-er-","ginjal",12272,"dasar","ginjal","ginjal"
"geronggang (2)",12109,"-er-","gonggang",12474,"dasar","gonggang","pohon, tinggi hingga 30 m, berbatang lu-rus, kayunya baik untuk dibuat papan, kasau, pintu, dsb.; gonggang"
"gerunyam",12154,"-er-","gunyam",12751,"dasar","gunyam","gunyam"
"jelabir",15185,"-el-","jabir",14827,"dasar","jabir","jabir"
"jelumpang",15244,"-el-","jumpang",15766,"dasar","jumpang","perdu, tingginya mencapai 4 m, kulit batangnya dapat dibuat tali atau karung; jumpang | kulit jelumpang"
"jerongkok",15459,"-er-","jongkok",15653,"dasar","jongkok","jongkok"
"kekara",17278,"R.purwa","kara",16599,"dasar","kara","kacang kara"
"kekisi",17298,"R.purwa","kisi",18932,"dasar","kisi","kisi-kisi"
"kerisut",18195,"-er-","kisut",18942,"dasar","kisut","berkerut-kerut; lisut; kisut"
"keriut",18201,"-er-","kiut",18968,"dasar","kiut","tiruan bunyi “kiut, kiut”, seperti bunyi gesekan pohon bambu ditiup angin"
"kinerja",18831,"-in-","kerja",18202,"dasar","kerja","sesuatu yang dicapai | prestasi yang diperlihatkan | kemampuan kerja (tentang peralatan)"
"lelaki",21636,"R.purwa","laki",20883,"dasar","laki","laki-laki"
"lelaki",21636,"-el-","laki",20883,"dasar","laki","laki-laki"
"peparu",28573,"R.purwa","paru",27838,"prakategorial","paru","paru-paru"
"pepetek",28593,"R.purwa","petek",29052,"dasar","petek","ikan yang hidup di air laut atau payau, berbadan amat pipih, bersisik kecil-kecil berkilat, rahangnya dapat menjulur unt"
"peputut",28607,"R.purwa","putut",30625,"dasar","putut","murid seorang pertapa (pendeta); putut"
"perasukan",28665,"-er-","pasukan",74356,"turunan","pasukan","pasukan"
"rerata",31806,"R.purwa","rata",31177,"dasar","rata","nilai, angka, dsb. yang paling umum; nilai dsb. rata-rata | statistik yang menunjukkan nilai yang paling umum atau perte"
"rerata",31806,"-er-","rata",31177,"dasar","rata","nilai, angka, dsb. yang paling umum; nilai dsb. rata-rata | statistik yang menunjukkan nilai yang paling umum atau perte"
"rerongkong",31807,"R.purwa","rongkong",32288,"dasar","rongkong","rongkong"
"rerongkong",31807,"-er-","rongkong",32288,"dasar","rongkong","rongkong"
"reruku",31810,"R.purwa","ruku",32418,"prakategorial","ruku","ruku-ruku"
"reruku",31810,"-er-","ruku",32418,"prakategorial","ruku","ruku-ruku"
"selampai (2)",33750,"-el-","sampai",32941,"dasar","sampai","ikan laut, ukurannya mencapai 160 cm, hidup di dasar perairan tropis, tersebar di perairan Pakistan dan sepanjang pantai"
"selebaran",33802,"-el-","sebaran",81007,"turunan","sebaran","terbitan tidak berjilid (tidak berkulit) yang disebarkan kepada umum, biasanya untuk mempropagandakan sesuatu | lembaran"
"seloyak",33944,"-el-","soyak",36027,"dasar","soyak","soyak; keloyak; koyak"
"seminar (1)",34154,"-em-","sinar",35389,"dasar","sinar","bersinar-sinar"
"serabut",34583,"-er-","sabut",32597,"dasar","sabut","serat-serat seperti pada sabut | barang yang rupanya seperti bulu atau serat | sabut halus | struktur jaringan yang berb"
"serampuk",34609,"-er-","sampuk",32973,"dasar","sampuk","sampuk; bentur; antuk"
"serendeng",34714,"-er-","sendeng",34254,"dasar","sendeng","sendeng; miring sebelah; tinggi sebelah; sedeng | kurang waras otaknya"
"seruling",34858,"-er-","suling",36565,"dasar","suling","alat musik tiup yang terbuat dari buluh, logam, dsb.; suling"
"telekap",38054,"-el-","tekap",37924,"dasar","tekap","penutup dsb. yang melingkup; tekap"
"tetikus",38756,"R.purwa","tikus",38824,"dasar","tikus","peranti periferal pada komputer yang menyerupai tikus, gunanya, antara lain, untuk mengendalikan kursor"
